culture_id,time,temperature,pH,DO,product,biomass,R_stress,R_resource,R_checkpoint,R_pathway_capacity,R_morphology,R_energy
C001,0,30,5.0,40,0.00,0.10,0.08,0.22,0.12,0.18,0.15,0.21
C001,1,30,5.0,40,0.04,0.12,0.10,0.24,0.14,0.20,0.16,0.24
C001,2,30,5.0,40,0.09,0.15,0.14,0.28,0.18,0.23,0.19,0.29
C001,3,30,5.0,40,0.15,0.18,0.18,0.32,0.23,0.26,0.22,0.34
C001,4,30,5.0,40,0.22,0.22,0.22,0.36,0.29,0.30,0.26,0.39
C002,0,28.5,4.75,65,0.00,0.10,0.05,0.18,0.10,0.17,0.13,0.18
C002,1,28.5,4.75,65,0.03,0.12,0.07,0.20,0.12,0.19,0.15,0.20
C002,2,28.5,4.75,65,0.07,0.15,0.09,0.23,0.15,0.21,0.17,0.24
C002,3,28.5,4.75,65,0.12,0.18,0.12,0.26,0.19,0.24,0.20,0.28
C002,4,28.5,4.75,65,0.18,0.22,0.15,0.30,0.23,0.27,0.23,0.32
C003,0,31,5.4,30,0.00,0.10,0.10,0.25,0.14,0.19,0.17,0.23
C003,1,31,5.4,30,0.05,0.13,0.13,0.27,0.17,0.22,0.19,0.26
C003,2,31,5.4,30,0.11,0.16,0.17,0.31,0.21,0.25,0.22,0.31
C003,3,31,5.4,30,0.18,0.20,0.20,0.35,0.26,0.29,0.25,0.36
C003,4,31,5.4,30,0.26,0.25,0.24,0.39,0.31,0.33,0.29,0.41
C004,0,29,5.1,55,0.00,0.10,0.07,0.20,0.11,0.18,0.14,0.20
C004,1,29,5.1,55,0.04,0.12,0.09,0.22,0.14,0.20,0.16,0.23
C004,2,29,5.1,55,0.08,0.15,0.12,0.25,0.17,0.23,0.19,0.27
C004,3,29,5.1,55,0.14,0.19,0.16,0.29,0.21,0.27,0.22,0.32
C004,4,29,5.1,55,0.21,0.23,0.20,0.34,0.27,0.31,0.26,0.38
C005,0,27.5,4.6,70,0.00,0.10,0.04,0.17,0.09,0.16,0.12,0.17
C005,1,27.5,4.6,70,0.02,0.11,0.06,0.18,0.11,0.18,0.14,0.19
C005,2,27.5,4.6,70,0.06,0.14,0.08,0.21,0.14,0.20,0.16,0.22
C005,3,27.5,4.6,70,0.10,0.17,0.11,0.24,0.17,0.23,0.19,0.26
C005,4,27.5,4.6,70,0.15,0.21,0.14,0.27,0.20,0.26,0.22,0.30
C006,0,32,5.2,45,0.00,0.10,0.09,0.23,0.13,0.19,0.16,0.22
C006,1,32,5.2,45,0.05,0.13,0.12,0.26,0.16,0.22,0.19,0.26
C006,2,32,5.2,45,0.10,0.16,0.16,0.30,0.20,0.25,0.22,0.31
C006,3,32,5.2,45,0.17,0.20,0.20,0.34,0.25,0.29,0.26,0.36
C006,4,32,5.2,45,0.25,0.24,0.24,0.38,0.30,0.33,0.30,0.41
